guid,name,steamid
FF0110000116FE629C,BamBeintz22 | MXB-Mods Racing,76561198346035868
FF011000013EC95226,Jake | AJP x FXR,76561199013646886
FF0110000113418D97,Berre Brands | OFO Racing,76561198283328919
FF011000011A0776DC,inoahguy,76561198396962524
FF0110000131FF20F4,KUNG//CLUTCHKICKERZ RACING,76561198799069428
FF01100001430E74C5,Hammer,76561199085286597
FF011000013E23EE7E,test,76561199002807934
FF011000013EC9214F,Count Swagula,76561199013634383
FF01100001002EA389,*PBR* COLLECT,76561197963322249
FF011000010B51933D,_Rich_,76561198150161213
FF011000010235E9AA,KeLLz | TGR,76561197997353386
FF0110000100F15B7A,RYNO,76561197976083322
FF0110000117920889,im2slow,76561198355712137
FF011000013F4124ED,Stoned,76561199021499629
FF011000010F0BD0FC,Earle | DBK x AEO,76561198212698364
FF011000010946F24C,joeymousemat,76561198115910220
FF0110000134434C26,Cheesy | Factory GRD,76561198837091366
FF0110000144A26893,Hatter | Stateline,76561199111760019
FF0110000118124B0E,Kaiser | AC Racing x JX,76561198364117774
FF011000011B175D96,scorpion108 | Blitz Co.,76561198414781846
FF0110000132AF0B38,shannon,76561198810598200
FF011000013E1D0F32,Willy | Eyespec,76561199002357554
FF0110000136696128,Zirg,76561198873141544
FF01100001039E5647,ClipClep,76561198020974151
FF01100001044D31EA,Papi Kev,76561198032433642
FF0110000112FBB258,Austin LaBo | MiniMart,76561198278750808
FF0110000113934D2A,TK,76561198288686378
FF0110000118895A62,Beaz,76561198371920482
FF0110000117DC9076,nigger eliminator,76561198360596598
FF011000013F6D4DBB,NITO974,76561199024393659
FF0110000145505AF1,sparky,76561199123159793
FF01100001081BAB5F,Payne | OBP Kawaski uk,76561198096296799
FF011000013EE82DCE,oliverhelgi04,76561199015669198
FF011000010728873E,NotFound,76561198080362302
FF011000013EC367D3,Dan | MODGRAPHIX,76561199013259219
FF01100001024DCB15,DJ-Freebase,76561197998918421
FF0110000111E73C93,Carter,76561198260632723
3AFCF544,Unknown,
FF011000010F38770F,JG / MISFITS,76561198215624463
FF011000010874AF1D,Fty11,76561198102130461
FF011000010F09872B,Freitas | TryHard x FCM x JP,76561198212548395
FF011000010B5A1597,Madsovich,76561198150718871
FF01100001074E7EDB,morgan447,76561198082850523
FF011000010AB2FB64,Mac Burdett,76561198139767652
FF0110000149E2C645,Sparks | RD Factory Racing,76561199199864389
FF0110000103D11E4D,d1istraction,76561198024302157
FF0110000142CA3D97,Julio,76561199080816023
FF011000013E2153FF,Frosty122,76561199002637311
FF0110000107B06658,Hot Dog 7,76561198089266776
FF011000010553CFBD,hiury,76561198049644477
FF011000013736FF95,Kob | Eyespec,76561198886616981
FF011000010867C9DE,McOuille191,76561198101285342
FF0110000103746487,Frankie | MXB-Mods Rookie,76561198018225287
FF011000014B853025,zethhumphrey5,76561199227285541
FF0110000112C4F3AD,trma,76561198275163053
FF011000014552BA1B,shifty-,76561199123315227
FF011000010ACDEC8A,ARTUR STROHER,76561198141533322
FF0110000135E4BDE2,BabaYaga,76561198864448994
